ARREST LOCATION,Formatted,lat,lon
ALUM ROCK AV / SILCREEK DR,"Silcreek Dr & Alum Rock Ave, San Jose, CA 95116, USA",37.35455839999999,-121.8517604
TOYON AV / MCKEE RD,"McKee Rd & Toyon Ave, San Jose, CA 95127, USA",37.3810846,-121.8263506
1200 BLOCK STATE ST,"1200 State St, San Jose, CA 95002, USA",37.4274489,-121.9747209
300 BLOCK GUANACASTE CT,"300 Guanacaste Ct, San Jose, CA 95116, USA",37.3612091,-121.8526622
00 BLOCK MERIDIAN,"Meridian Ave, San Jose, CA, USA",37.270992,-121.9059407
3200 BLOCK NAPA DR,"3200 Napa Dr, San Jose, CA 95148, USA",37.3350027,-121.7949153
10TH/WILLIAMS,,,
LEWIS RD / MONTEREY RD,"Lewis Rd & Monterey Rd, San Jose, CA 95111, USA",37.29049759999999,-121.8480833
2900 BLOCK VINEYARD PARK DR,"2900 Vineyard Park Dr, San Jose, CA 95148, USA",37.3260253,-121.7989385
S 17TH ST / E SAN FERNANDO ST,"E San Fernando St & S 17th St, San Jose, CA 95112, USA",37.3421441,-121.873069
S 21ST ST / WOODBOROUGH DR,"S 21st St. & Woodborough Dr, San Jose, CA 95116, USA",37.3372944,-121.8652241
MARSH ST / TERILYN AV,"Marsh St & Terilyn Ave, San Jose, CA 95122, USA",37.3356079,-121.8452545
RUFF DR/HY 880,"Ruff Dr, San Jose, CA 95110, USA",37.350746,-121.9124196
E CAPITOL AV/ABORN RD,"Aborn Rd & E Capitol Expy, San Jose, CA 95148, USA",37.3115551,-121.8079618
CLAYTON RD / RAMSTAD DR,"Clayton Rd & Ramstad Dr, San Jose, CA 95127, USA",37.3605684,-121.8118505
ADRIANA AV / MANN DR,"Adriana Ave & Mann Dr, Cupertino, CA 95014, USA",37.3234484,-122.0555795
HY 880/AIRPORT BL,"880 Airport Blvd, San Jose, CA 95110, USA",37.3508824,-121.9185617
TULLY RD / RUBY AV,"Tully Rd & Ruby Ave, San Jose, CA 95148, USA",37.3387187,-121.785191
S JACKSON AVE/SAN ANTONIO,"E San Antonio St & S Jackson Ave, San Jose, CA 95116, USA",37.3555368,-121.8407455
1400 BLOCK FOLEY AV,"1400 Foley Ave, San Jose, CA 95122, USA",37.3339638,-121.8420398
2600 BLOCK BERRYESSA RD,"2600 Berryessa Rd, San Jose, CA 95132, USA",37.3889338,-121.8576331
2900 BLOCK CROPLEY AV,"2900 Cropley Ave, San Jose, CA 95132, USA",37.4072374,-121.8741161
300 BLOCK CURETON PL,"300 Cureton Pl, San Jose, CA 95127, USA",37.3677415,-121.8166053
3000 BLOCK BERRYESSA RD,"3000 Berryessa Rd, San Jose, CA 95132, USA",37.3911561,-121.8525558
ALUM ROCK AV / PALA AV,"Pala Ave & Alum Rock Ave, San Jose, CA 95127, USA",37.3626745,-121.8348584
BRIGADOON WY / CAMPERDOWN WY,"Brigadoon Way & Camperdown Way, San Jose, CA 95121, USA",37.3052696,-121.8031491
E ST JOHN ST / N 7TH ST,"E St John St & N 7th St, San Jose, CA 95112, USA",37.3406913,-121.8853057
HAZLET WY/BERRYESSA RD,"Hazlett Way, San Jose, CA 95131, USA",37.3728843,-121.8853451
LENFEST RD / NICORA AV,"Nicora Ave & Lenfest Rd, San Jose, CA 95133, USA",37.3634247,-121.8698438
MCCREERY AV / LIDO WY,"McCreery Ave & Lido Way, San Jose, CA 95122, USA",37.3433756,-121.8418867
N 1ST ST / GEORGE ST,"George St & N First St, San Jose, CA 95112, USA",37.3478125,-121.8993292
ORCHARD PY / COMPONENT DR,"Component Dr, San Jose, CA 95131, USA",37.3824905,-121.9258175
O'TOOLE AV / O'TOOLE WY,"O'Toole Ave & O'Toole Way, San Jose, CA 95131, USA",37.3852497,-121.9057682
PINKERTON DR / LOYE WY,"Loye Way & Pinkerton Dr, San Jose, CA 95148, USA",37.3301875,-121.786812
S JACKSON AV / WOODSET DR,"Woodset Dr & S Jackson Ave, San Jose, CA 95116, USA",37.3562591,-121.8414415
SERRA VISTA / SIERRA GARDE,"Sierra Vista Open Space Preserve, Sierra Rd, San Jose, CA 95127, USA",37.4091663,-121.801608
SIERRA MEADOW DR / MUIRFIELD DR,"Sierra Meadow Dr & Muirfield Dr, San Jose, CA 95116, USA",37.3557724,-121.8355152
STOWE/HELLYER,,,
SUNDOWN LN / MURTHA DR,"Sundown Ln & Murtha Dr, San Jose, CA 95127, USA",37.3495828,-121.8204201
WILSHIRE BL / MELROSE AV,"Wilshire Blvd & Melrose Ave, San Jose, CA 95116, USA",37.3556271,-121.8572355
RACE ST / MARTIN AV,"Race St & Martin Ave, San Jose, CA 95126, USA",37.3315205,-121.912
CINNABAR ST / N MORRISON AV,"N Morrison Ave & Cinnabar St, San Jose, CA 95126, USA",37.3343703,-121.9094119
THE ALAMEDA / HESTER AV,"The Alameda & Hester Ave, San Jose, CA 95126, USA",37.3335861,-121.9145256
W SAN CARLOS ST / DUPONT ST,"Dupont St & W San Carlos St, San Jose, CA 95126, USA",37.3238578,-121.9042792
TIERRA BUENA DR / FONTAINE RD,"Fontaine Rd & Tierra Buena Dr, San Jose, CA 95121, USA",37.3136988,-121.8263459
SARON AV / SHORTRIDGE AV,"Shortridge Ave & Saron Ave, San Jose, CA 95116, USA",37.3557875,-121.8470001
WATERSTONE CT / FLEMING AV,"Fleming Ave & Waterstone Ct, San Jose, CA 95127, USA",37.3742871,-121.8178124
N CAPITOL AV / MADDEN AV,"Madden Ave & N Capitol Ave, San Jose, CA 95127, USA",37.3657254,-121.8387837
2500 BLOCK HERON CT,"2500 Heron Ct, San Jose, CA 95133, USA",37.3817434,-121.8590468
SWEIGERT RD / GEIST CT,"Geist Ct & Sweigert Rd, San Jose, CA 95132, USA",37.4141154,-121.8453124
LANDESS AV / MORRILL AV,"Landess Ave & Morrill Ave, San Jose, CA 95132, USA",37.415961,-121.8750932
CHALLENGER AV / SPRING GARDEN DR,"Spring Garden Dr & Challenger Ave, San Jose, CA 95127, USA",37.3733518,-121.8367092
00 BLOCK PALA AV,"Pala Ave, San Jose, CA 95127, USA",37.3661168,-121.837415
2900 BLOCK POSTWOOD DR,"2900 Postwood Dr, San Jose, CA 95132, USA",37.4113481,-121.8778765
900 BLOCK S JACKSON AV,"900 S Jackson Ave, San Jose, CA 95116, USA",37.3488059,-121.8343507
GREYSTONE PK/CAMDEN AV/MT CARMEL DR,"Greystone Park, Camden Ave & Mt Carmel Dr, San Jose, CA 95120, USA",37.2204165,-121.8510282
900 BLOCK CAPE BUFFALO DR,"900 Cape Buffalo Dr, San Jose, CA 95133, USA",37.3711823,-121.8696254
100 BLOCK EL BOSQUE AV,"100 El Bosque Ave, San Jose, CA 95134, USA",37.4134521,-121.9439114
N 1ST ST/ TECHNOLOGY PL,"N First St & Technology Pl, San Jose, CA 95110, USA",37.3711945,-121.9168501
5400 BLOCK FAIRWAY DR,"5400 Fairway Dr, San Jose, CA 95127, USA",37.3826156,-121.8207855
NEW ST / N 1ST ST,"N First St, San Jose, CA, USA",37.3843327,-121.9266481
900 BLOCK COMMERCIAL ST,"900 Commercial St, San Jose, CA 95112, USA",37.36652830000001,-121.8879565
900 BLOCK COMMERICAL ST,"900 Commercial St, San Jose, CA 95112, USA",37.36652830000001,-121.8879565
N 1ST ST / W MONTAGUE EX,"N First St & Montague Expy, San Jose, CA 95134, USA",37.3975175,-121.9360869
500 BLOCK SOUTH BAY MHP ACCESS,,,
1400 BLOCK SAN TOMAS AQUINO PY #3,"1400 San Tomas Aquino Rd #3, San Jose, CA 95130, USA",37.2987766,-121.97637
1200 BLOCK FLORA AV,"1200 Flora Ave, San Jose, CA 95117, USA",37.3034626,-121.9755693
100 BLOCK S 23RD ST,"100 S 23rd St, San Jose, CA 95116, USA",37.3449224,-121.867097
100 BLOCK W TASMAN DR,"100 W Tasman Dr, San Jose, CA 95134, USA",37.4071334,-121.9488427
200 BLOCK EL BOSQUE ST,"200 El Bosque St, San Jose, CA 95134, USA",37.4144301,-121.9414223
2800 BLOCK STEMPLE CT,"2800 Stemple Ct, San Jose, CA 95121, USA",37.3129859,-121.8199886
3500 BLOCK CASABELLA AV,"3500 Casabella Ave, San Jose, CA 95148, USA",37.3231774,-121.7734565
HANI CT / DADIS WY,"Hani Ct & Dadis Way, San Jose, CA 95111, USA",37.2996486,-121.8377153
MABURY RD / N CAPITOL AV,"Mabury Rd & N Capitol Ave, San Jose, CA 95133, USA",37.3788219,-121.8518419
N CAPITOL AV / NB 680 TO CAPITOL RP,"Capitol - Goss, San Jose, CA 95116, USA",37.3505793,-121.8320633
NORWOOD AV / GUMDROP DR,"Norwood Ave & Gumdrop Dr, San Jose, CA 95148, USA",37.3295029,-121.7941913
PLUM ST / FLOYD ST,"Plum St & Floyd St, San Jose, CA 95110, USA",37.3154574,-121.8780413
W SAN CARLOS ST / BROOKLYN AV,"Brooklyn Ave & W San Carlos St, San Jose, CA 95128, USA",37.3234664,-121.9288217
KOLLMAR DR/S CAPITOL AV,"Kollmar Dr & S Capitol Ave, San Jose, CA 95127, USA",37.3500848,-121.8262167
100 BLOCK N 12TH ST,"100 N 12th St, San Jose, CA 95112, USA",37.3431405,-121.8801766
HEADQUARTERS DR / ROSE ORCHARD WY,"Rose Orchard Way & Headquarters Dr, San Jose, CA 95134, USA",37.4170949,-121.9517887
2700 BLOCK CHROMITE DR,"2700 Chromite Dr, Santa Clara, CA 95051, USA",37.3667546,-121.9753933
900 BLOCK MABURY RD,"900 Mabury Rd, San Jose, CA 95133, USA",37.362172,-121.8812634
3900 BLOCK S BASCOM AV,"3900 S Bascom Ave, San Jose, CA 95124, USA",37.2590367,-121.9469392
N 1ST ST / E MISSION ST,"E Mission St & N First St, San Jose, CA 95112, USA",37.3512426,-121.9017604
1600 BLOCK CARMEL DR,"1600 Carmel Dr, San Jose, CA 95125, USA",37.30485669999999,-121.8855893
CUSTER DR / COMSTOCK LN,"Custer Dr & Comstock Ln, San Jose, CA 95124, USA",37.274977,-121.9194421
STONE AV / TURTLE CREEK CT,"Stone Ave & Turtle Creek Ct, San Jose, CA 95125, USA",37.30311349999999,-121.873808
AUTUMN ST / COLEMAN AV,,,
600 BLOCK MONFERINO DR,"600 Monferino Dr, San Jose, CA 95112, USA",37.3571337,-121.8773051
LEEWARD DR / AMADOR DR,"Leeward Dr & Amador Dr, San Jose, CA 95122, USA",37.3477383,-121.8299905
EVERGLADE AV / S KING RD,"Everglade Ave & S King Rd, San Jose, CA 95122, USA",37.3367019,-121.8399866
200 BLOCK OAKLAND AV,"200 Oakland Ave, San Jose, CA 95116, USA",37.3519969,-121.8482077
900 BLOCK TEMPLE DR,"900 Temple Dr, San Jose, CA 95117, USA",37.3098633,-121.9692301
WOODHAMS RD / STEVENS CREEK BL,"Woodhams Rd & Stevens Creek Blvd, Santa Clara, CA 95051, USA",37.3231245,-121.9824074
HILLSDALE AV / NEWBERRY DR,,,
14900 BLOCK PENITENCIA CREEK RD,"14900 Penitencia Creek Rd, San Jose, CA 95132, USA",37.3928369,-121.8333922
3300 BLOCK LUCIAN AV,"3300 Lucian Ave, San Jose, CA 95127, USA",37.3803062,-121.8333574
CROPLEY AV / MORRILL AV,"Cropley Ave & Morrill Ave, San Jose, CA 95132, USA",37.4094205,-121.8704231
STEVENS CREEK BL / N MONROE ST,"N Monroe St & Stevens Creek Blvd, San Jose, CA 95128, USA",37.3232709,-121.9432466
BERMUDA WY / BISCAYNE WY,"Bermuda Way & Biscayne Way, San Jose, CA 95122, USA",37.3350162,-121.8359783
BISCAYNE WY / ORLANDO DR,"Orlando Dr & Biscayne Way, San Jose, CA 95122, USA",37.3345486,-121.836674
UNKNOWN WHITE RD,"S White Rd, San Jose, CA, USA",37.3420626,-121.8065273
MARTEN AV / OCALA AV,"Ocala Ave & Marten Ave, San Jose, CA 95127, USA",37.3446352,-121.8085669
1900 BLOCK TERILYN AV,"1900 Terilyn Ave, San Jose, CA 95122, USA",37.3270596,-121.8372887
2700 BLOCK BRISTOL DR,"2700 Bristol Dr, San Jose, CA 95127, USA",37.3472026,-121.8242087
300 BLOCK S 16TH ST,"300 S 16th St, San Jose, CA 95112, USA",37.3387056,-121.8717832
S WILLARD AV / W SAN CARLOS ST,"S Willard Ave & W San Carlos St, San Jose, CA 95126, USA",37.3234072,-121.9171948
MELBOURNE BL / KAUFMANN CT,"Kaufmann Ct & Melbourne Blvd, San Jose, CA 95116, USA",37.336714,-121.8610829
900 BLOCK MELBOURNE BL,"900 Melbourne Blvd, San Jose, CA 95116, USA",37.3354052,-121.8627097
HUMBOLT ST/ S 1ST ST,"W Humboldt St & S First St, San Jose, CA 95110, USA",37.3187262,-121.8763777
HWY 280 /HWY 880,"San Jose, CA, USA",37.33874,-121.8852525
4100 BLOCK BLACKFORD AV,"4100 Blackford Ave, San Jose, CA 95117, USA",37.3137839,-121.9711452
GOODYEAR/FIRST ST,,,
W CAMPBELL LN/SARATOGA AV,"Saratoga Ave & W Campbell Ave, San Jose, CA 95129, USA",37.2916535,-121.9922803
SAN TOMAS EX/ E HAMILTON AV,,,
DARRYL DR / W HAMILTON AV,"Darryl Dr & W Hamilton Ave, Campbell, CA 95008, USA",37.2941417,-121.9631465
SILVER CREEK VALLEY RD / PIERCY RD,"Silver Creek Valley Rd & Piercy Rd, San Jose, CA 95138, USA",37.2570548,-121.7893527
W HUMBOLDT ST / LOCUST ST,"W Humboldt St & Locust St, San Jose, CA 95110, USA",37.3149758,-121.8820082
MASTIC ST / GOODYEAR ST,"Goodyear St & Mastic St, San Jose, CA 95110, USA",37.3188441,-121.879449
MONTEREY RD/PHELAN ST,"Phelan Ave & Monterey Rd, San Jose, CA 95112, USA",37.3113817,-121.8688248
N 4TH ST / JACKSON ST,"Jackson St & N 4th St, San Jose, CA 95112, USA",37.348469,-121.8954564
CHATEAU LA SALLE DR / MONTEREY RD,"Chateau La Salle Dr & Monterey Rd, San Jose, CA 95111, USA",37.29465330000001,-121.8524962
W ST JOHN ST / N MARKET ST,"N Market St & W St John St, San Jose, CA 95113, USA",37.33715530000001,-121.8933264
KAMMERER AV / S JACKSON AV,"S Jackson Ave & Kammerer Ave, San Jose, CA 95116, USA",37.3541376,-121.8393538
S WHITE RD / DIAMOND AV,"S White Rd & Diamond Ave, San Jose, CA 95127, USA",37.3538453,-121.8170566
RACE ST/PARK ST,"Race St, San Jose, CA 95126, USA",37.3213448,-121.9112377
11TH ST/HY 280,"S 11th St, San Jose, CA 95112, USA",37.332154,-121.8732835
1500 BLOCK FARRINGDON DR,"1500 Farringdon Dr, San Jose, CA 95127, USA",37.3481435,-121.8173463
WILLIS AV / JEROME ST,"Willis Ave & Jerome St, San Jose, CA 95125, USA",37.3187727,-121.8953599
SANBORN AV / ROBERTS CT,"Sanborn Ave & Roberts Ct, San Jose, CA 95110, USA",37.31462570000001,-121.8751129
MARDEN DR/ MT KENYA,,,
MT KENYA DR / MARTEN AV,"Mt Kenya Dr & Marten Ave, San Jose, CA 95148, USA",37.35001889999999,-121.7980049
NASSAU DR / CUNNINGHAM AV,"Nassau Dr & Cunningham Ave, San Jose, CA 95122, USA",37.330634,-121.8282901
ORLANDO DR / EVERGLADE AV,"Everglade Ave & Orlando Dr, San Jose, CA 95122, USA",37.3371084,-121.8391796
TALLAHASSEE DR / ARDEN WY,"Tallahassee Dr & Arden Way, San Jose, CA 95122, USA",37.3436051,-121.8295859
ANGELA ST / LANO ST,"Lano St & Angela St, San Jose, CA 95125, USA",37.305375,-121.8779919
VILLA STONE DR / LANO ST,"Villa Stone Dr & Lano St, San Jose, CA 95125, USA",37.306164,-121.8768768
NOTRE DAME AV / W SANTA CLARA ST,"W Santa Clara St & Notre Dame Ave, San Jose, CA 95110, USA",37.3342516,-121.8946535
RAMSGATE WY / MARKINGDON AV,"Markingdon Ave & Ramsgate Way, San Jose, CA 95127, USA",37.349399,-121.8177864
LIDO WY / THACKERAY LA,,,
THACKERY LA/LIDO WY,"Lido Way, San Jose, CA, USA",37.3424217,-121.8433255
SHERMAN ST/ EDWARDS ST,"Sherman St, San Jose, CA 95110, USA",37.3180025,-121.8774306
S FIRST STREET/ HUMBOLT,,,
COLEMAN AV/GUADALUPE PKWY,"Coleman Ave & Guadalupe Fwy, San Jose, CA 95110, USA",37.3419742,-121.9002293
1900 BLOCK ASTRO CT,"1900 Astro Ct, San Jose, CA 95131, USA",37.3886811,-121.8772194
S AUTUMN ST / S MONTGOMERY ST,,,
OCALA AV / OCALA CT,"Ocala Ave & Ocala Ct, San Jose, CA 95127, USA",37.3436833,-121.8115502
MAETEN AVE/ RUBION DR,"Marten Ave & Rubion Dr, San Jose, CA 95148, USA",37.3493909,-121.7992147
MARTEN AV / RUBION DR,"Marten Ave & Rubion Dr, San Jose, CA 95148, USA",37.3493909,-121.7992147
BENDORF DR / ROUNDTABLE DR,"Roundtable Dr & Bendorf Dr, San Jose, CA 95111, USA",37.260827,-121.8048512
1500 BLOCK STAGHORN LN,"1500 Staghorn Ln, San Jose, CA 95121, USA",37.309645,-121.8216547
2000 BLOCK CUNNINNGHAM,"2000 Cunningham Ave, San Jose, CA 95122, USA",37.3320328,-121.8262275
3200 BLOCK SHADOW PARK PL,"3200 Shadow Park Pl, San Jose, CA 95121, USA",37.3060337,-121.8172453
ABORN SQ / ABORN RD,"Aborn Sq & Aborn Rd, San Jose, CA 95122, USA",37.3111629,-121.8104774
ALBANY DR / RICHFIELD DR,"Richfield Dr & Albany Dr, San Jose, CA 95129, USA",37.3213236,-121.9838485
ASBURY ST / STOCKTON AV,"Asbury St & Stockton Ave, San Jose, CA 95126, USA",37.3415541,-121.9144093
CHYNOWETH AV / CHYNOWETH CT,,,
COLEMAN/AUTUMN,"Autumn Pkwy & Coleman Ave, San Jose, CA 95110, USA",37.34087950000001,-121.9035644
CUNNINGHAM AV/HURON DR,"Cunningham Ave, San Jose, CA, USA",37.3340903,-121.8232084
E JULIAN ST / N 20TH ST,"N 20th St & E Julian St, San Jose, CA 95112, USA",37.3495598,-121.8748665
E SAN ANTONIO ST / S 33RD ST,"E San Antonio St & S 33rd St, San Jose, CA 95116, USA",37.3480061,-121.8566677
GALE DR / MARATHON DR,"Marathon Dr & Gale Dr, Campbell, CA 95008, USA",37.2923285,-121.965276
HAMILTON AV / SAGEMONT AV,"Hamilton Ave & Sagemont Ave, San Jose, CA 95130, USA",37.2908605,-121.9863633
HURAN DR / WAVERLY AV,"Huran Dr & Waverly Ave, San Jose, CA 95122, USA",37.3271307,-121.8270698
JULIAN ST/AUTUMN PKWY,"Autumn Pkwy & W Julian St, San Jose, CA 95110, USA",37.3359389,-121.9010437
MCLAUGHLIN AV / LAGO CT,"McLaughlin Ave & Lago Ct, San Jose, CA 95121, USA",37.3108989,-121.8323862
N 30TH ST/FIVE WOUNDS LN,"5 Wounds Ln & N 30th St, San Jose, CA 95116, USA",37.3508938,-121.8633818
"PENDLETON, OR","Pendleton Dr, San Jose, CA 95148, USA",37.3240734,-121.7927117
PIERCE AV / S MARKET ST,"Pierce Ave & S Market St, San Jose, CA 95110, USA",37.32764299999999,-121.8844909
PLUM ST / W ALMA AV,"Plum St & W Alma Ave, San Jose, CA 95110, USA",37.3143365,-121.8769267
S 28TH ST / E SANTA CLARA ST,,,
S WINCHESTER BL / IMPALA DR,"Impala Dr & S Winchester Blvd, San Jose, CA 95117, USA",37.2960173,-121.9500108
S WINCHESTOR BLVD / IMPALA DR,"Impala Dr & S Winchester Blvd, San Jose, CA 95117, USA",37.2960173,-121.9500108
SCOTTY ST / FLORIDA AV,"Scotty St & Florida Ave, San Jose, CA 95122, USA",37.3359215,-121.8417201
SILVERSTONE PL / BROWNSTONE CT,"Brownstone Ct & Silverstone Pl, San Jose, CA 95122, USA",37.3419311,-121.8222867
VALLEJO DR / COLOMBO DR,"Vallejo Dr & Colombo Dr, San Jose, CA 95130, USA",37.2977943,-121.9797457
800 BLOCK W SAN CARLOS ST,"800 W San Carlos St, San Jose, CA 95126, USA",37.3234104,-121.9052516
CADILLAC DR / EDEN AV,"Eden Ave & Cadillac Dr, San Jose, CA 95117, USA",37.2968627,-121.9544442
3000 BLOCK VAN SANSUL AV,"3000 Van Sansul Ave, San Jose, CA 95128, USA",37.3081422,-121.9473839
1300 BLOCK N WINCHESTER BL,"1300 N Winchester Blvd, San Jose, CA 95128, USA",37.3233593,-121.9502057
WINCHESTER / HAMILTON,"Winchester Blvd & W Hamilton Ave, Campbell, CA 95008, USA",37.29419780000001,-121.9499743
1400 BLOCK KOSSER RD,"1400 Kooser Rd, San Jose, CA 95118, USA",37.2462613,-121.8900528
5600 BLOCK MIREILLE DR,"5600 Mireille Dr, San Jose, CA 95118, USA",37.2380343,-121.8978049
2200 BLOCK WREN WY,"2200 Wren Way, Campbell, CA 95008, USA",37.2819513,-121.9651483
4400 BLOCK HAMILTON AV,"4400 Hamilton Ave, San Jose, CA 95130, USA",37.2937526,-121.9794479
OAKMONT DR / WILL ROGERS DR,,,
SAN TOMAS EXPY/W HAMILTON AV,"W Hamilton Ave & San Tomas Expy, Campbell, CA 95008, USA",37.2941748,-121.9608359
2000 BLOCK FLINTBURY CT,"2000 Flintbury Ct, San Jose, CA 95148, USA",37.3433166,-121.8024434
LLEWELLYN AV / W HAMILTON AV,"Llewellyn Ave & W Hamilton Ave, Campbell, CA 95008, USA",37.2941867,-121.9584351
COTTLE TO BLOSSOM HILL RP / BLOSSOM HILL RD,,,
5900 BLOCK SOUTH BREEZE CT,"5900 S Breeze Ct, San Jose, CA 95138, USA",37.2426956,-121.777711
EDEN AV / CADILLAC DR,"Eden Ave & Cadillac Dr, San Jose, CA 95117, USA",37.2968627,-121.9544442
SAN JOSE AV / MONETEREY RD,"San Jose Ave & Monterey Rd, San Jose, CA 95112, USA",37.3125137,-121.8701779
200 BLOCK KENTDALE PL,"200 Kentdale Pl, San Jose, CA 95126, USA",37.3279609,-121.9046914
500 BLOCK W SAN FERNANDO ST,"500 W San Fernando St, San Jose, CA 95110, USA",37.3292456,-121.9000239
00 BLOCK WILSON AV,"Wilson Ave, San Jose, CA 95126, USA",37.3308385,-121.9055846
THE ALAMEDA / FREMONT ST,"The Alameda & Fremont St, San Jose, CA 95126, USA",37.3352713,-121.9165793
3300 BLOCK QUIMBY RD,"3300 Quimby Rd, San Jose, CA 95148, USA",37.3229422,-121.7789581
SANTA TERESA BL / BANNER DR,"Santa Teresa Blvd & Banner Dr, San Jose, CA 95123, USA",37.2374593,-121.8237995
LENZEN AV / THE ALAMEDA,"The Alameda & Lenzen Ave, San Jose, CA 95126, USA",37.3332786,-121.9139843
3500 BLOCK MARTEN AV,"3500 Marten Ave, San Jose, CA 95148, USA",37.3505998,-121.7970532
GRAND BL / PACIFIC AV,"Grand Blvd & Pacific Ave, San Jose, CA 95002, USA",37.4295911,-121.9666662
2300 BLOCK OAKLAND RD,"2300 Old Oakland Rd, San Jose, CA 95131, USA",37.40107880000001,-121.9028426
700 BLOCK E BROKAW RD,"700 E Brokaw Rd, San Jose, CA 95112, USA",37.3815449,-121.9064885
1700 BLOCK AIRPORT GREEN LOT PARKING ACCESS,"Airport Green Lot Parking Access, San Jose, CA 95110, USA",37.3735068,-121.9327909
1400 BLOCK ATTEBERRY LN,"1400 Atteberry Ln, San Jose, CA 95131, USA",37.3994146,-121.9051821
200 BLOCK BENDORF DR,"200 Bendorf Dr, San Jose, CA 95111, USA",37.2590495,-121.8043224
2900 BLOCK ORCHARD PY,"2900 Orchard Pkwy, San Jose, CA 95134, USA",37.391106,-121.9363918
DESCANSO DR / N 1ST ST,"Descanso Dr & N First St, San Jose, CA 95134, USA",37.4052025,-121.9417372
900 BLOCK LAKE TAHOE CT,"900 Lake Tahoe Ct, San Jose, CA 95123, USA",37.2434445,-121.8671574
EDEN AV / MOORPARK AV,"Eden Ave & Moorpark Ave, San Jose, CA 95117, USA",37.3161463,-121.9546725
MARIPOSA AV / TILLMAN AV,"Mariposa Ave & Tillman Ave, San Jose, CA 95126, USA",37.32721799999999,-121.913132
HUFF AV / S BAYWOOD AV,"Huff Ave & S Baywood Ave, San Jose, CA 95128, USA",37.3137913,-121.9456539
UNION AV / CAMDEN AV,"Camden Ave & Union Ave, San Jose, CA 95124, USA",37.2616794,-121.9314241
SYLVIA DR / PHILIP CT,"Sylvia Dr & Philip Ct, San Jose, CA 95121, USA",37.3062797,-121.8232541
BOREN DR / SHERLOCK DR,"Sherlock Dr & Boren Dr, San Jose, CA 95121, USA",37.3094936,-121.8372261
PELLIER DR / LANIER LN,"Lanier Ln & Pellier Dr, San Jose, CA 95121, USA",37.3122194,-121.8289048
1000 BLOCK KITCHENER CL,"1000 Kitchener Cir, San Jose, CA 95121, USA",37.2914968,-121.8184003
S 10TH ST / BURKE ST,"Burke St & S 10th St, San Jose, CA 95112, USA",37.3087575,-121.8550098
WALNUT ST / SEYMOUR ST,"Seymour St, San Jose, CA 95110, USA",37.342149,-121.9085583
2500 BLOCK SIERRA SERENA CT,"Sierra Serena Ct, San Jose, CA 95116, USA",37.3559455,-121.8348127
KITCHENER CL / TUERS RD,"Tuers Rd, San Jose, CA, USA",37.2984256,-121.8227796
MONTEREY RD / PULLMAN WY,"Pullman Way & Monterey Rd, San Jose, CA 95111, USA",37.2910695,-121.8489693
STEVENS CREEK BL / SAN TOMAS,"Stevens Creek Blvd & San Tomas Expy, San Jose, CA 95117, USA",37.3231763,-121.9642212
ALMADEN EX / MCABEE RD,"McAbee Rd & Almaden Expy, San Jose, CA 95120, USA",37.2362871,-121.8730382
BRANHAM LN / SPEAK LN,"Speak Ln & Branham Ln, San Jose, CA 95118, USA",37.2623952,-121.8786927
FOXCHASE DR / SANCHEZ DR,"Sanchez Dr & Foxchase Dr, San Jose, CA 95123, USA",37.2539098,-121.871553
HOYET DR / CORDELIA AV,"Cordelia Ave & Hoyet Dr, San Jose, CA 95129, USA",37.3016632,-121.9950001
LUNDY AV / VINCI PARK WY,"Lundy Ave & Vinci Park Way, San Jose, CA 95131, USA",37.3780994,-121.8770042
COLEMAN AV / NEW AUTUMN ST,,,
LATIMER AV / DUVALL DR,"Latimer Ave & Duvall Dr, San Jose, CA 95130, USA",37.2929638,-121.9794108
ENGLISH DR / PETERSEN AV,"Petersen Ave & English Dr, San Jose, CA 95129, USA",37.2968077,-121.9984227
MONICA LN/PAYNE AV,"Monica Ln & Payne Ave, Campbell, CA 95128, USA",37.30155329999999,-121.9449296
SAN TOMAS AQUINO PY / PAYNE AV,,,
4200 BLOCK BARRYMORE DR,"4200 Barrymore Dr, San Jose, CA 95117, USA",37.3035405,-121.9765723
WOODCREEK LN / BOYNTON AV,"Boynton Ave & Woodcreek Ln, San Jose, CA 95117, USA",37.3041001,-121.9660581
BRKER DR/TEMPLE DR,"Temple Dr & Barker Dr, San Jose, CA 95117, USA",37.3091397,-121.9693673
3200 BLOCK LEXINGTON DR,"Lexington Dr, San Jose, CA 95117, USA",37.2984303,-121.955556
WINCHESTER /HAMILTON,"Winchester Blvd & W Hamilton Ave, Campbell, CA 95008, USA",37.29419780000001,-121.9499743
BOYNTON AV/AKRON WY,"Akron Way & Boynton Ave, San Jose, CA 95117, USA",37.3169059,-121.9660541
1000 BLOCK BOYNTON AV,"1000 Boynton Ave, San Jose, CA 95117, USA",37.3085686,-121.965951
1400 BLOCK DE TRACEY ST,"1400 De Tracey St, San Jose, CA 95128, USA",37.2975516,-121.94715
VANDERBILT/ RISOTTO,"Vanderbilt Dr, San Jose, CA, USA",37.2788526,-121.985808
PAYNE AV / EDEN AV,"Eden Ave & Payne Ave, San Jose, CA 95117, USA",37.3015537,-121.9544832
E HAMILTON AV / ALMARIDA DR,"Almarida Dr & E Hamilton Ave, Campbell, CA 95008, USA",37.2942294,-121.9410656
